snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Nuclear,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-06-17 02:00:00,0.0,176.71527065883998,196.0936692132,105.0,0.0,3.71466112,1178.0,0.0,0.0,46.973845212,213.379973317,1503.10941271,2757.6179104271064
2030-06-17 03:00:00,0.0,176.59830014647,194.1979981084,105.0,0.0,3.71466112,1178.0,0.0,0.0,45.1608022703,215.900823291,1556.4144712,2686.3797453084176
2030-06-17 04:00:00,0.0,176.64836439217999,195.0093593828,105.0,0.0,3.71466112,1178.0,0.0,0.0,45.9367980788,218.721111217,1615.51741316,2644.749621483879
2030-06-17 05:00:00,0.0,177.54441630533,209.5311365878,105.0,0.0,3.71466112,1178.0,0.0,31.7585694245,59.8256027326,224.360289145,1665.11342318,2749.998196577759
2030-06-17 06:00:00,0.0,177.94161990048,215.9683775881,105.0,0.0,3.71466112,1178.0,0.0,97.7459991,65.9822584574,234.296661898,1704.91259151,3252.6871243149594
2030-06-17 07:00:00,0.0,178.44132237582,224.0667566097,105.0,0.0,3.71466112,1178.0,0.0,166.895077989,73.7276468252,239.723334109,1685.3300573,3425.1173613565384
2030-06-17 08:00:00,0.0,178.25675900143,221.0756484342,105.0,0.0,3.71466112,1178.0,0.0,246.7760593,70.8669145221,242.808792865,1656.62726956,3689.00912768672
2030-06-17 09:00:00,0.0,177.77156902702998,213.2124648318,105.0,0.0,3.71466112,1178.0,0.0,335.290145406,63.3464699189,237.745201051,1727.25278733,3897.1438283131374
2030-06-17 10:00:00,0.0,177.29202303003999,205.4407497943,105.0,0.0,3.71466112,1178.0,0.0,389.062566434,55.9135069657,234.070179515,1661.94126788,4007.9597165884475
2030-06-17 11:00:00,0.0,177.04531868782,201.4425601351,105.0,0.0,3.71466112,1178.0,0.0,386.145955354,52.0895896612,229.800324719,1747.20733004,4073.3275744204034
2030-06-17 12:00:00,0.0,176.31450330676998,189.5986725368,105.0,0.0,3.71466112,1178.0,0.0,330.458592027,40.761951255,221.939235774,1856.06838004,4102.091573627781
2030-06-17 13:00:00,0.0,176.34001768113998,190.0121687357,105.0,0.0,3.71466112,1178.0,0.0,234.652922668,41.1574240576,203.459044192,1788.44895757,4081.8258807291263
2030-06-17 14:00:00,0.0,176.4088938226,191.1284031485,105.0,0.0,3.71466112,1178.0,0.0,149.22317485,42.2250042504,184.428316705,1606.5725577,4064.093399442803
2030-06-17 15:00:00,0.0,177.13205448265,202.8482352637,105.0,0.0,3.71466112,1178.0,0.0,121.253213498,53.4339944811,186.201812801,1566.19044407,4116.505772008035
2030-06-17 16:00:00,0.0,178.06905281847,218.0336066408,105.0,0.0,3.71466112,1178.0,0.0,92.8411087079,67.9574686863,192.940675844,1639.12107788,4282.231789628287
2030-06-17 17:00:00,0.0,178.57766468610998,226.2763748524,105.0,0.0,3.71466112,1178.0,0.0,58.526938413,75.8409526347,199.275013451,1716.09193386,4302.725044666925
2030-06-17 18:00:00,0.0,178.73599030887,228.8422634865,105.0,0.0,3.71466112,1178.0,0.0,47.1623015705,78.2949997875,203.230150177,1791.71220692,4143.4496358795595
2030-06-17 19:00:00,0.0,178.92488168621,231.9035130162,105.0,0.0,3.71466112,1178.0,0.0,24.0681696798,81.2228161363,206.905022916,1834.54529095,3936.539212330568
2030-06-17 20:00:00,0.0,178.92958159499,231.97968162569998,105.0,0.0,3.71466112,1178.0,0.0,1.53416605151,81.2956647224,199.257609721,1850.24298832,3755.1276873318143
2030-06-17 21:00:00,0.0,178.64946294477,227.4399662702,105.0,0.0,3.71466112,1178.0,0.0,0.0,76.953825644,199.177208143,1812.61590067,3547.3388522154496
2030-06-17 22:00:00,0.0,178.73234481441,228.78318313900002,105.0,0.0,3.71466112,1178.0,0.0,0.0,78.2384946233,210.914875422,1730.78008371,3268.656993922437
2030-06-17 23:00:00,0.0,177.69117197874,211.9095179756,105.0,0.0,3.71466112,1178.0,0.0,0.0,62.1003156704,205.679911873,1660.81504435,3040.461370144948
2030-06-18 00:00:00,0.0,177.26262203546,204.9642654672,105.0,0.0,3.71466112,1178.0,0.0,0.0,55.4577915496,203.084867391,1511.25756519,2757.4189292236238
2030-06-18 01:00:00,0.0,177.18268271741,203.6687367712,105.0,0.0,3.71466112,1178.0,0.0,0.0,54.2187321199,197.382092872,1326.27306454,2681.177833973383
2030-06-18 02:00:00,0.0,177.175408076,203.5508410105,105.0,0.0,3.71466112,1178.0,0.0,0.0,54.1059751779,199.869700258,1170.53362623,2634.614604330513
2030-06-18 03:00:00,0.0,177.17377332511998,203.5243475811,105.0,0.0,3.71466112,1178.0,0.0,0.0,54.0806365393,204.050464888,1045.80560911,2618.752908140929
2030-06-18 04:00:00,0.0,178.15025498158,219.349601511,105.0,0.0,3.71466112,1178.0,0.0,0.125666592107,69.2161022144,207.604828724,952.844294241,2718.869215320993
2030-06-18 05:00:00,0.0,178.35835468176,222.7221488357,105.0,0.0,3.71466112,1178.0,0.0,19.7248837894,72.4416475673,216.270199854,944.697032003,3217.004367770501
2030-06-18 06:00:00,0.0,178.49633174294,224.9582605078,105.0,0.0,3.71466112,1178.0,0.0,109.743382026,74.5802920155,221.869835845,939.860275319,3843.979668582749
2030-06-18 07:00:00,0.0,178.5217929879,225.3708956702,105.0,0.0,3.71466112,1178.0,0.0,291.404713868,74.9749413124,251.715998095,946.392390714,4192.428316440701
2030-06-18 08:00:00,0.0,178.65625124781,227.5499802356,105.0,0.0,3.71466112,1178.0,0.0,451.616578731,77.059044341,266.046795772,934.363563059,4352.8932710408835
2030-06-18 09:00:00,0.0,177.75546264398,212.95143831899998,105.0,0.0,3.71466112,1178.0,0.0,525.815287496,63.0968209817,265.947027648,926.757159685,4406.052004011177
2030-06-18 10:00:00,0.0,177.15342476352998,203.1945706191,105.0,0.0,3.71466112,1178.0,0.0,539.491640392,53.7652338348,273.728666798,839.340534584,4466.536501325672
2030-06-18 11:00:00,0.0,177.52467668845,209.2112284282,105.0,0.0,3.71466112,1178.0,0.0,534.850028627,59.519638671,264.147498888,903.71653571,4503.144339574321
2030-06-18 12:00:00,0.0,177.8846120504,215.0444854725,105.0,0.0,3.71466112,1178.0,0.0,505.949979896,65.0986367812,265.152438905,962.307115027,4462.440744589996
2030-06-18 13:00:00,0.0,177.90353429184,215.3511469174,105.0,0.0,3.71466112,1178.0,0.0,478.139534332,65.3919315236,269.860229586,1092.0913141,4406.376886048862
2030-06-18 14:00:00,0.0,178.85312020944,230.74051770059998,105.0,0.0,3.71466112,1178.0,0.0,454.010611892,80.1105132464,271.399125846,1140.21515171,4380.419968946609
2030-06-18 15:00:00,0.0,178.89725848320998,231.4558402935,105.0,0.0,3.71466112,1178.0,0.0,386.035438626,80.7946564898,271.063145446,1125.54259331,4441.018066439093
2030-06-18 16:00:00,0.0,178.92084385153998,231.8380742457,105.0,0.0,3.71466112,1178.0,0.0,313.263761893,81.1602296988,267.098169626,1220.11830396,4445.998385070249
2030-06-18 17:00:00,0.0,179.12657724983,235.17227233149998,105.0,0.0,3.71466112,1178.0,0.0,248.627438317,84.3490973723,261.826888314,1348.74614893,4314.165016731128
2030-06-18 18:00:00,0.0,178.99215985869,232.99385010179998,105.0,0.0,3.71466112,1178.0,0.0,135.145608047,82.2656278097,254.095729168,1401.75763577,4204.4985162439325
2030-06-18 19:00:00,0.0,178.75140192279,229.09203029190002,105.0,0.0,3.71466112,1178.0,0.0,42.5690553189,78.5338798033,253.768861974,1398.46448932,4104.319801322777
2030-06-18 20:00:00,0.0,179.09453204569,234.6529348823,105.0,0.0,3.71466112,1178.0,0.0,2.17353305316,83.8523967083,254.72880119,1386.79391695,3994.92753311238
2030-06-18 21:00:00,0.0,178.83648661924,230.47094705680001,105.0,0.0,3.71466112,1178.0,0.0,0.0,79.8526925982,252.714195891,1427.87638304,3746.336335977963
2030-06-18 22:00:00,0.0,178.14367919615998,219.2430316913,105.0,0.0,3.71466112,1178.0,0.0,0.0,69.1141775405,259.559294206,1602.06187102,3320.4015132119807
2030-06-18 23:00:00,0.0,178.4286162746,223.8608364299,105.0,0.0,3.71466112,1178.0,0.0,0.0,73.5307022563,257.684787763,1669.88101375,3018.347865433955
2030-06-19 00:00:00,0.0,177.74851903962,212.83890747779998,105.0,0.0,3.71466112,1178.0,0.0,0.0,62.9891951141,256.439976539,1711.70691493,2875.5819270995103
2030-06-19 01:00:00,0.0,178.23457134511,220.71606636410002,105.0,0.0,3.71466112,1178.0,0.0,0.0,70.5230058491,257.511697831,1750.75122332,2804.3298332965783
2030-06-19 02:00:00,0.0,177.68652111248,211.834144169,105.0,0.0,3.71466112,1178.0,0.0,0.0,62.0282272435,251.594426313,1760.13766848,2760.5557774505196
2030-06-19 03:00:00,0.0,177.99904461202,216.8990255282,105.0,0.0,3.71466112,1178.0,0.0,0.0,66.8723414864,249.580970433,1706.18221963,2742.548159427381
2030-06-19 04:00:00,0.0,178.19255824747998,220.03518522939999,105.0,0.0,3.71466112,1178.0,0.0,0.110468928352,69.871802836,234.900028033,1654.68805378,2819.7809046389766
2030-06-19 05:00:00,0.0,178.31921057193,222.0877636696,105.0,0.0,3.71466112,1178.0,0.0,17.6759688525,71.834913865,225.146126365,1682.38768471,3246.091440095533
2030-06-19 06:00:00,0.0,178.87661975334998,231.1213607478,105.0,0.0,3.71466112,1178.0,0.0,104.870994479,80.4747561769,218.514712898,1700.96605138,3817.495993967277
2030-06-19 07:00:00,0.0,179.15612128511,235.6510748337,105.0,0.0,3.71466112,1178.0,0.0,296.37256064,84.8070299192,232.158122359,1702.22792272,4179.724632842383
2030-06-19 08:00:00,0.0,178.8578242051,230.8167525436,105.0,0.0,3.71466112,1178.0,0.0,464.430769724,80.1834251791,232.539865492,1643.07470617,4338.252595872667
2030-06-19 09:00:00,0.0,178.62344179764,227.01825710819998,105.0,0.0,3.71466112,1178.0,0.0,581.037170088,76.5504978634,225.844819655,1545.41222056,4381.642075319996
2030-06-19 10:00:00,0.0,178.62474959834,227.0394518517,105.0,0.0,3.71466112,1178.0,0.0,623.708279716,76.5707687743,205.939558711,1300.66372323,4423.148107230363
