snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-09-17 17:00:00,1758.5064511269209,4768.501331130144,3604.664082192824,3242.286838617411,3743.8022595066413,4105.741784240927,5962.562750947114,5923.7201156133215,3686.0012577230996,2352.8503109796525,3848.1725402597353,1233.1862721220157
2030-09-17 18:00:00,1754.4803239956955,4757.583775171083,3596.4111492274833,3234.863573835069,3735.2307675787715,4096.341626293968,5948.911373297725,5910.157668765332,3677.5621020635112,2347.4634245871257,3839.362090994651,1230.3628734902602
2030-09-17 19:00:00,1712.4755583218148,4643.680422185742,3510.3079279350436,3157.4163180593764,3645.8040062841824,3998.269355103845,5806.4859355014405,5768.66005002499,3589.5160110155844,2291.2617962592435,3747.442277039641,1200.9062284153804
2030-09-17 20:00:00,1615.3104361010553,4380.200004270759,3311.1345749532593,2978.265882331869,3438.9426644436667,3771.409281876934,5477.028435886667,5441.348774785546,3385.848425671771,2161.2565933286633,3534.814023693574,1132.7673286263516
2030-09-17 21:00:00,1456.9867923877423,3950.8774360694906,2986.595787228287,2686.353011654219,3101.876846637096,3401.75695617153,4940.200913875439,4908.018372476969,3053.986606523713,1949.4223779309434,3188.3514344770256,1021.7398462679697
2030-09-17 22:00:00,1263.1033617369405,3425.128214876728,2589.164979879588,2328.8759634339867,2689.1054147858167,2949.080025708839,4282.800924877121,4254.900962817048,2647.5880011773716,1690.009800963595,2764.0726987557896,885.7753834038907
2030-09-17 23:00:00,1134.6544698950513,3076.81632137317,2325.864776162274,2092.0453557401347,2415.6419587941614,2649.178946564817,3847.2696378545043,3822.206909323854,2378.346579527239,1518.147471472847,2482.9855875336566,795.6981420112343
2030-09-18 00:00:00,1124.6269758083047,3049.6249972413143,2305.309976522083,2073.556932179938,2394.2937544727642,2625.766862158302,3813.269442581599,3788.428205587629,2357.3279726339442,1504.7308629837344,2461.042234771142,788.666170053647
2030-09-18 01:00:00,1109.6196226157306,3008.929904181138,2274.5472420508013,2045.8867785062998,2362.3435942924775,2590.727856737465,3762.3840534043193,3737.874305184253,2325.8710947206027,1484.6512917069265,2428.201363234598,778.1419766814197
2030-09-18 02:00:00,1083.4264482742994,2937.902478246138,2220.855318039568,1997.592509028693,2306.5791896636183,2529.5723174520654,3673.570932726147,3649.6397504354386,2270.9676432692854,1449.6052909627804,2370.88235017193,759.7735123516748
2030-09-18 03:00:00,1073.7845295399484,2911.7567098925797,2201.0908877624624,1979.8149989198323,2286.0518625557133,2507.060470195257,3640.878106688313,3617.159899182586,2250.7572399699934,1436.704575427719,2349.7827591609507,753.0119324822928
2030-09-18 04:00:00,1118.823599794982,3033.888116533914,2293.413960412914,2062.856823769482,2381.9385582677573,2612.2172028026075,3793.591952274638,3768.878902708156,2345.1635297509292,1496.966049241409,2448.342598553738,784.5964416616895
2030-09-18 05:00:00,1313.7941127888007,3562.5851538102643,2693.07311709394,2422.3382051390167,2797.0243525880787,3067.4322413261334,4454.67790823744,4425.658267397319,2753.840765852956,1757.8331230217711,2875.000216887954,921.3232418042104
2030-09-18 06:00:00,1561.860619897797,4235.261372086292,3201.570784303402,2879.716550601362,3325.1497678957253,3646.61523087696,5295.796298276775,5261.297259355408,3273.812390987893,2089.741691239422,3417.84879171305,1095.2846230343062
2030-09-18 07:00:00,1662.2531012100612,4507.493345114429,3407.3597202931596,3064.817504110122,3538.8820508415592,3881.0105070974405,5636.196795052921,5599.480244481615,3484.244836172162,2224.0650431521817,3637.5395352908286,1165.6867700945074
2030-09-18 08:00:00,1683.1749001325218,4564.226504067276,3450.2461464773364,3103.3925535465473,3583.42387099164,3929.8584962432205,5707.136278304702,5669.957598177061,3528.0989699415313,2252.0580374738224,3683.323098981854,1180.358581621125
2030-09-18 09:00:00,1678.8137627210663,4552.400508468317,3441.3064946639997,3095.351605831227,3574.1391532218736,3919.6761599284723,5692.348982264563,5655.266632787291,3518.957600017397,2246.2229132931907,3673.7795404579106,1177.3002506248422
2030-09-18 10:00:00,1678.0707630195125,4550.385733337059,3439.78346110586,3093.981682990227,3572.5573313526916,3917.941412286009,5689.82969531989,5652.763757534733,3517.4002000814116,2245.2287929260237,3672.1536203214737,1176.7792078777088
