snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Oil,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-01-04 18:00:00,0.0,69.10426257107,206.00414328990001,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.772178153418,0.0,7374.208932387242
2030-01-04 19:00:00,0.0,69.08315662941,205.8800147526,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.84342287644,0.0,7109.369401252319
2030-01-04 20:00:00,0.0,69.02022280739,205.5098875437,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.959079792036,0.0,6719.043685264789
2030-01-04 21:00:00,0.0,69.01262097058,205.4651795227,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.08028225731,0.0,6236.36748744558
2030-01-04 22:00:00,0.0,67.47951751047,196.44867160389998,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.03747832755,0.0,5648.116473936963
2030-01-04 23:00:00,0.0,67.46316182791,196.3524803519,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.10738416643,0.0,5154.845609167801
2030-01-05 00:00:00,0.0,67.47226412081,196.4060128747,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.21450317699,0.0,5044.435789193122
2030-01-05 01:00:00,0.0,67.48356376411,196.4724684832,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.28633676893,0.0,4915.109376853831
2030-01-05 02:00:00,0.0,67.43712784798,196.199368972,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.2914481164,0.0,4745.573896317294
2030-01-05 03:00:00,0.0,67.44629414138,196.2532778954,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.25862352102,0.0,4595.936213637018
2030-01-05 04:00:00,0.0,67.42959001167,196.1550373515,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.23333917014,0.0,4512.235178094111
2030-01-05 05:00:00,0.0,67.4156450145,196.0730238536,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.20223885856,0.0,4651.864926661075
2030-01-05 06:00:00,0.0,67.43087002160999,196.1625653626,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.17833358976,0.0,5089.594765407721
2030-01-05 07:00:00,0.0,67.4832082058,196.470377369,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.17939741373,0.0,5628.692314692854
2030-01-05 08:00:00,0.0,67.43003090398,196.1576303331,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.16848403839,0.0,6120.715523977474
2030-01-05 09:00:00,0.0,67.48349976362,196.4720920826,60.0,0.0,0.0,0.0,0.0,4.96900068,540.0,1.18814637165,0.0,6512.24139587526
2030-01-05 10:00:00,0.0,67.48604556116,196.4870644601,60.0,0.0,0.0,0.0,0.0,18.969459212,540.0,1.05698775537,0.0,6733.881647517497
2030-01-05 11:00:00,0.0,67.46080092068999,196.3385953538,60.0,0.0,0.0,0.0,0.0,31.4897336178,540.0,1.01390943442,0.0,6839.354226027967
2030-01-05 12:00:00,0.0,67.4605875857,196.3373406852,60.0,0.0,0.0,0.0,0.0,41.6645834059,540.0,0.961427250624,0.0,6868.911627786121
2030-01-05 13:00:00,0.0,67.44444523813,196.2424041017,60.0,0.0,0.0,0.0,0.0,40.9021937633,540.0,0.931731409092,0.0,6821.368625319335
2030-01-05 14:00:00,0.0,67.50595682688,196.60416685389998,60.0,0.0,0.0,0.0,0.0,30.2966692089,540.0,0.892276964427,0.0,6773.712076251161
2030-01-05 15:00:00,0.0,67.45454309432,196.3017917443,60.0,0.0,0.0,0.0,0.0,17.053684719,540.0,0.907291945681,0.0,6876.15101528399
2030-01-05 16:00:00,0.0,67.39522885597,195.9529520777,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.908216969578,0.0,7175.433166298012
2030-01-05 17:00:00,0.0,67.80163912286,198.3431374012,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.900021594321,0.0,7406.223193078153
2030-01-05 18:00:00,0.0,67.53972775577999,196.8027808782,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.900741802817,0.0,7417.874612461713
